158046,Anuja,1225,3,7777,9184
1709703,Gep4rd,0,1,124,41841
701433,Nessel,95,1,1398,21447
829840,Loki66688,6,4,12872,6576
1021885,2nake,20669,3,14849,5811
960154,The+Thade,6198,2,4241,12770
1216796,Gerfried+Sword+Master,6198,1,6234,10402
1482247,marcyhoff,2393,11,85109,544
1339242,lord+nock,0,17,117232,269
668220,Ghostrider15,6246,1,1563,20475
1118692,Rawking,0,1,149,39609
100452,Nunnunarbeit,17352,5,12955,6536
1412063,dani+marker1,2490,1,376,31807
1372971,komett,3282,5,29096,2919
1166670,KriegsGott+Des+Chaos,1398,1,853,25397
1600915,sandra74,139,2,5171,11548
1709363,to+be+continued...,18568,16,147941,146
1685978,Tinnitoon,0,0,0,44636
477153,Flo31083,7990,1,5080,11652
1701593,Herikanmase,0,0,0,44637
1523059,buRTi+8,1477,2,9730,8025
982701,ExXenT,19300,3,18421,4793
1520313,mannheim3,1779,2,6991,9740
1411934,Graf+Master,16777,1,2351,17228
1524307,CaliHB,0,1,451,30281
1490698,Tirith,18306,6,38609,2016
1365505,BastiBeil,7184,11,68978,785
876113,Morgane+La+Fee,0,4,17565,4992
1673620,d+o.O+b,12953,10,71279,749
457290,dudadei,179,1,1315,21951
1193455,Christine50,17846,7,22637,3894
1280337,JoeContana,194,13,103466,356
650085,olliE26,248,3,17284,5072
1283630,-Sleepless-,0,1,1203,22661
689379,Bilos,18601,1,7244,9545
1709721,Clytenbyster,2,6,48590,1417
204298,andumart,13408,9,76298,667
529862,manicator,209,6,27500,3125
1586128,Elfen-Traum,0,3,10097,7785
1442776,Dark-NyX,0,7,35327,2298
1086649,King600,14285,1,2695,16110
1083716,xXxDemoxXx,3325,3,15602,5557
1572626,M%40st3rkill3r,1849,1,3288,14495
1709487,-%3Dindy%3D-,13815,15,96640,417
381071,slimAr,20669,7,36910,2155
1375886,lisa196110,9,6,26184,3306
707637,dryy%21,0,1,163,38955
539763,Schlawiener,19683,30,251554,23
886389,-Tomsen-,2575,11,62233,964
1500486,vomendederwelt,366,16,94281,444
1187729,bsmoky,139,6,31448,2658
1373034,Manituchild,0,4,16839,5202
1428758,pain-nagato,16116,1,3008,15218
1707544,aO+iN+sYteM,1328,16,155009,128
717743,diesel+ind.+record+2007,9765,1,1976,18610
633499,danieljj,0,4,20548,4339
1046608,Biginter,441,5,19190,4623
534630,lengenfelder,18078,1,4667,12159
1706796,Vivus,0,1,146,39841
1230810,mr+lady45,15267,2,7903,9098
544673,K.Sparrow,6246,15,92996,457
1357130,SUCKER+S15,0,3,9299,8256
858326,Priz+Heisenherz,20669,3,14258,6034
889700,Gery123,0,1,1822,19235
619551,Puzzola,248,6,20930,4252
1333859,NikolaKarabatic,900,1,119,42471
1440298,samson78,2160,14,68744,793
367865,Mr_Speed_12,17336,1,362,32137
1541761,Herzog+Fonze,0,1,1048,23758
1156000,Lambogini50,11631,1,4547,12317
118286,c0ast,0,1,3778,13482
1378677,Tropex,3282,14,75427,677
901025,Meon,13270,8,50113,1355
1178274,ThoralfHammer,7777,9,60186,1025
1354955,Black-Knight-Danilo,11842,2,5892,10741
689296,zeroflip12,441,4,22495,3920
485054,idna5182,829,3,12383,6775
1061538,Hedda-M%C3%B6rder,13001,1,150,39548
1167431,Zorngigel,13815,7,47173,1495
1709800,StillFreeGangsta,15287,1,2784,15843
1384953,rayspine,389,0,0,44642
1242234,%2AN00bster%2A,18306,1,742,26468
1313148,tosunpasa1,0,0,0,44644
831058,Jeepers+Creepers+III,0,1,623,27792
1429988,%C3%84schbi,14859,1,1880,19003
1709425,der-schwarze-mann1,6761,1,2484,16792
815829,David900,482,1,954,24494
1166324,Yo+Yamaga,1186,2,11133,7288
1393521,Zwergenkonich,3808,4,22099,4009
942570,antiplastik,19690,8,52957,1248
653032,Manager071993,19329,2,9149,8336
1262297,dotti56,1579,3,12209,6854
1329941,Westweg,2393,8,63877,907
803431,noorderlicht,7184,7,33676,2439
1443268,AnonyMouseBinz,1225,2,11442,7169
1443123,Judo+King,8798,0,0,44645
984693,RAM01,1327,1,434,30611
1506978,Neulauterburger,12477,1,5867,10766
1685783,Eigelb42,16340,2,5088,11641
1200054,Alex0709,14148,1,1048,23759
861308,Thor1905,0,4,17673,4962
1215791,Kasanuk,18601,4,15521,5590
351809,Fritze61,1798,1,4268,12721
11280,Icefairy,459,2,3883,13298
1690992,SohndesK%C3%B6nigs,71,1,3218,14671
322185,Bullit16,0,1,116,42652
947186,idoli-99,13815,9,60863,1005
