1053019,Walther+v.+A.,36468,5,24523,7415
947186,idoli-99,30669,35,348761,1814
221351,Superman,66,158,1547395,264
978191,Heroen,43384,30,152589,3209
810209,d.e.x.y.,0,0,0,40971
782259,Pudi%21,30307,4,3316,13666
1046834,malrei,31516,1,910,19835
1059290,Teutusrexus,347,9,76993,4612
339903,Iceman34,31996,1,116,37598
1066000,QuicKbasher,0,0,0,40976
259204,webansicht,16195,23,230299,2458
831713,Kael-judo,52269,33,225930,2505
1044333,SIR+THOR,52269,45,493645,1357
959595,matadonix,47912,1,2376,15150
1071860,pokemon+krieger,0,0,0,40980
1011622,leckerer+muffin,35772,4,22288,7672
483436,lucky-benson,42151,229,1919575,142
1054824,Hong+Kong+Fui,8767,5,42802,5981
1047250,Der+Clown+2711,23367,27,173333,2979
922531,Hildegarde,27608,5,21617,7754
235568,-%3DLegende%3D-,0,0,0,40982
290131,Biggilein,21450,1,296,27200
320979,WT%2FBT,19683,1,2112,15625
455151,saco83,46209,303,3018443,25
592098,Florian-Rene,19431,62,451548,1464
208713,real+tiger,46209,181,1828486,164
1029926,kriti%40s,33664,1,945,19597
972000,simmis,48357,43,406024,1618
1037272,miareczek,0,3,13406,9034
948135,derOgir,30301,47,460517,1438
202012,Schleckmiau,46209,62,509756,1313
739984,King+Bausti,53069,1,116,37617
46247,ruby123,20262,89,874646,703
1077583,SouthernCross,5062,252,2503684,57
866832,%2AAngel1703%2A,8553,62,535645,1250
552446,xxChrixx,347,10,23479,7524
641099,%24dark+killer%24,51243,1,179,31938
30376,Higi,66,172,1746556,193
1012578,6eorg,4450,102,893929,688
943428,Fire-Fighter13,39205,38,310031,1981
1022125,Sargasso,28324,309,2939318,29
370169,Dietz,3866,0,0,40990
548754,Kaiserreich1,17025,120,1156702,461
963010,bartusch,30669,38,366712,1743
1059462,Zelina,17025,96,929244,652
978535,Bember,35017,89,665565,980
1072136,dragon1963,47399,89,902189,677
979090,Muetzze,15845,3,22197,7686
918495,H%C3%A4uptling+gro%C3%9Fe+Feder,0,79,550184,1212
1026528,Skalar+der+Gro%C3%9Fe,10599,13,88034,4301
676576,Sebi0%3Dnix,18775,62,551180,1210
999149,Lord+Sniffikuss,457,7,59153,5228
855393,Der+Blaue+Killer,457,57,434294,1520
1078307,Skrymir,66,290,2719422,40
966322,SuperDirk,31363,55,425419,1551
29176,hundeei,0,1,1272,17985
131582,Alerionz,66,239,2312283,77
798738,rottimann,4450,94,575551,1155
1054140,KantiranIV,27474,54,297305,2047
1012550,King+Marki,35772,5,51689,5549
1078329,Lucka1982,46209,38,288860,2105
399025,Reflex44,47912,5,10666,9669
581199,Schwitzerchracher,22227,12,117675,3719
757832,dimix83,66,112,1093346,504
