158046,Anuja,1225,3,7100,7370
1709703,Gep4rd,18446,1,124,44650
701433,Nessel,95,1,457,31798
829840,Loki66688,6,3,7360,7163
1021885,2nake,147,1,6567,7800
960154,The+Thade,6198,1,1850,17569
1216796,Gerfried+Sword+Master,6198,1,4924,9565
1482247,marcyhoff,2393,10,69771,246
1339242,lord+nock,3180,7,48987,570
668220,Ghostrider15,6246,1,1563,19295
1118692,Rawking,0,1,143,43025
100452,Nunnunarbeit,17352,1,5401,8973
1412063,dani+marker1,0,1,3727,11425
1372971,komett,3282,3,11793,4678
1166670,KriegsGott+Des+Chaos,1398,1,783,26472
1600915,sandra74,139,1,1741,18197
1709363,to+be+continued...,18568,16,138923,33
1685978,Tinnitoon,0,0,0,47527
477153,Flo31083,7990,1,2472,14955
1701593,Herikanmase,0,0,0,47528
1523059,buRTi+8,1477,1,2699,14104
982701,ExXenT,19200,3,12404,4430
1520313,mannheim3,1779,2,5889,8457
1411934,Graf+Master,16777,1,936,24591
1524307,CaliHB,0,1,425,32556
1490698,Tirith,18306,5,25498,1749
1365505,BastiBeil,7184,8,38581,876
876113,Morgane+La+Fee,13815,5,23903,1903
1673620,d+o.O+b,12953,6,44245,677
457290,dudadei,179,1,875,25336
1193455,Christine50,17846,3,11432,4833
1280337,JoeContana,194,10,72589,228
650085,olliE26,248,3,13188,4146
1283630,-Sleepless-,0,1,1203,22017
689379,Bilos,7392,1,5421,8956
1709721,Clytenbyster,2,3,17424,2951
204298,andumart,13408,9,59588,368
529862,manicator,16502,5,17116,3023
1586128,Elfen-Traum,0,3,8860,6142
1442776,Dark-NyX,101,5,21905,2135
1012307,DeLonghi,6,0,0,47529
1086649,King600,7731,1,1376,20636
1083716,xXxDemoxXx,176,1,5153,9273
1572626,M%40st3rkill3r,1849,1,2954,13282
1709487,-%3Dindy%3D-,13815,8,51185,518
381071,slimAr,147,5,20716,2336
1375886,lisa196110,9,6,19565,2528
707637,dryy%21,0,1,163,41765
539763,Schlawiener,320,20,149244,27
886389,-Tomsen-,2575,7,28111,1499
1500486,vomendederwelt,366,13,60108,362
1187729,bsmoky,139,5,21126,2263
1373034,Manituchild,14878,4,15276,3492
1428758,pain-nagato,16116,1,1550,19388
1707544,aO+iN+sYteM,1328,14,107038,77
717743,diesel+ind.+record+2007,9765,1,1133,22644
633499,danieljj,37,2,9656,5690
1443131,Taekwondo+King,0,0,0,47530
1046608,Biginter,441,2,10018,5518
534630,lengenfelder,18078,1,2123,16341
1706796,Vivus,0,1,146,42715
1230810,mr+lady45,18743,1,1589,19132
1583092,AK-HILL,1252,1,152,42322
1699974,Alt+F+Fear,0,1,80,47445
544673,K.Sparrow,441,8,40527,803
1357130,SUCKER+S15,14031,1,3466,11912
858326,Priz+Heisenherz,14878,3,9860,5579
889700,Gery123,0,1,1612,18960
619551,Puzzola,248,7,22482,2052
1333859,NikolaKarabatic,900,1,116,45383
1440298,samson78,2160,8,32644,1185
367865,Mr_Speed_12,0,1,148,42585
950615,papabaer54,0,1,1122,22742
1541761,Herzog+Fonze,179,1,1048,23399
1156000,Lambogini50,11631,1,2382,15311
118286,c0ast,0,1,3188,12583
1378677,Tropex,3282,10,49027,568
901025,Meon,13270,5,34138,1085
1677571,Lord+Joggile,15027,1,925,24723
1178274,ThoralfHammer,7777,5,26334,1648
1354955,Black-Knight-Danilo,11842,1,2522,14768
689296,zeroflip12,441,1,8922,6103
485054,idna5182,829,3,9732,5642
1061538,Hedda-M%C3%B6rder,13001,1,148,42586
1167431,Zorngigel,13815,4,22247,2087
1709800,StillFreeGangsta,15287,1,1752,18137
1384953,rayspine,389,0,0,47534
1224624,orion8,0,1,3281,12353
1242234,%2AN00bster%2A,18306,1,533,30285
1424347,c-raul,16679,1,103,47131
1313148,tosunpasa1,0,0,0,47535
831058,Jeepers+Creepers+III,5353,1,1199,22053
1429988,%C3%84schbi,14859,1,818,26026
1709425,der-schwarze-mann1,6761,1,1454,20055
815829,David900,482,1,840,25762
1166324,Yo+Yamaga,1186,2,7503,7060
1393521,Zwergenkonich,3808,4,15551,3420
1275414,Caeser+Kevin,12722,1,580,29492
942570,antiplastik,320,6,36856,951
653032,Manager071993,483,2,7358,7166
1262297,dotti56,1579,2,6169,8162
1329941,Westweg,2393,6,38993,866
803431,noorderlicht,7184,5,20869,2309
1443268,AnonyMouseBinz,1225,2,7899,6760
1443123,Judo+King,0,1,2698,14111
959895,Kalter+Regen,0,0,0,47536
1035314,Jack55,1433,1,290,36366
984693,RAM01,1327,1,389,33471
1506978,Neulauterburger,12477,1,3783,11315
1685783,Eigelb42,16340,1,2681,14188
1200054,Alex0709,13149,1,545,30085
861308,Thor1905,1798,4,15526,3424
1215791,Kasanuk,18601,4,10404,5316
1506773,Earl+of+Farmsen,147,3,31913,1223
1667827,Boooni,0,0,0,47537
351809,Fritze61,1798,2,5767,8580
1004855,blubbblubb84,205,1,879,25287
11280,Icefairy,459,1,1529,19530
1690992,SohndesK%C3%B6nigs,71,1,2711,14068
322185,Bullit16,8041,1,4707,9844
947186,idoli-99,13815,6,41093,784
1333571,POTTGOTT,93,2,6647,7737
1709801,Sandymausi,1225,3,7041,7405
1159965,klatschinger,13815,4,30707,1316
1326925,sarafina37,14878,2,6000,8340
998310,D4rkF1ghter,18798,1,4705,9847
897536,KRALLE19,6246,4,10007,5523
1302951,spider+man34,194,14,91676,132
1709342,Ritze+Ratze,15002,1,2672,14215
1419684,prinz-haakon,0,2,2483,14912
1353370,Erik23,0,1,615,28877
1709782,Zentes,13408,10,53015,490
1044890,darkspecies2000,13815,7,48655,578
1217889,darkrosi,11842,1,2722,14025
1022831,DemonKiss,0,0,0,47539
923205,Happy+Kaiba,769,14,79263,181
276819,sigi+master,194,8,64103,301
750975,Morpheus+Hope,13815,6,43501,703
1709805,Degufreund,1036,4,15042,3563
865608,Torridity,194,10,79009,187
